"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 19 13:41:39 CST 2024","Wed Jun 19 13:41:44 CST 2024","4974","testcase","test_ui_firstleg","TestFreightowerui","","","test_query_containerlist",""
"passed","Wed Jun 19 13:41:26 CST 2024","Wed Jun 19 13:41:26 CST 2024","641","testcase","test_freightower","TestFreightower","","","test_freightower_link",""
